"","Machine","RL","Type","Yield","Area","DT_time"
"1","Hiseq2500_Rapid",91,"PE",70128.661,"武汉",18.27
"2","Hiseq2500_Rapid",91,"SE",25501.29,"武汉",8.35
"3","Hiseq2500_Rapid",101,"PE",79006.882,"武汉",19.44
"4","Hiseq2500_Rapid",151,"PE",116371.2895,"武汉",23.23
"5","Hiseq2500_Rapid",251,"PE",131367.144,"武汉",24.42
"6","Hiseq4000",26,"PE",354647.375,"武汉",19.56
"7","Hiseq4000",50,"PE",323940.23,"武汉",18.67
"8","Hiseq4000",50,"SE",156716.004,"武汉",11.55
"9","Hiseq4000",101,"PE",636606.179,"武汉",25.29
"10","Hiseq4000",151,"PE",953196.2925,"武汉",29.25
